,Primary Type,Year,size
163,VEHICLE THEFT,2017,11406
164,VEHICLE THEFT,2016,11294
165,CRIMINAL TRESPASS,2009,10851
166,VEHICLE THEFT,2015,10068
167,VEHICLE THEFT,2018,9988
168,VEHICLE THEFT,2014,9912
169,ROBBERY,2014,9799
170,ROBBERY,2018,9683
171,ROBBERY,2015,9639
173,CRIMINAL TRESPASS,2010,9401
174,CRIMINAL TRESPASS,2011,8659
175,CRIMINAL TRESPASS,2012,8216
176,CRIMINAL TRESPASS,2013,8136
177,CRIMINAL TRESPASS,2014,7539
178,CRIMINAL TRESPASS,2018,6904
179,CRIMINAL TRESPASS,2017,6812
180,CRIMINAL TRESPASS,2015,6401
181,CRIMINAL TRESPASS,2016,6308
